seed,sample,ranking_score
1,0,0.9350337181069341
1,1,0.9293673479129739
1,2,0.928481239089993
1,3,0.9268136877245015
1,4,0.9338183705620549
2,0,0.9369893134725921
2,1,0.9346964223737504
2,2,0.936050411837511
2,3,0.932715350074838
2,4,0.9317686052113214
3,0,0.9301018755042679
3,1,0.9294095537649963
3,2,0.9273698192910073
3,3,0.9320208738970162
3,4,0.9290066360471269
4,0,0.9296802666866164
4,1,0.9267581540332761
4,2,0.9322822509319215
4,3,0.9319177837293741
4,4,0.9240866960287645
5,0,0.9263632871915319
5,1,0.9275141108785376
5,2,0.929018932703689
5,3,0.9354083746951551
5,4,0.9286991082274865
6,0,0.9264135482947946
6,1,0.9282411351226125
6,2,0.9263241687545528
6,3,0.9295534493507309
6,4,0.9324242765646726
7,0,0.9283264092698806
7,1,0.9233388774140892
7,2,0.9275003248527811
7,3,0.9309028139045707
7,4,0.9289440501351128
8,0,0.9278549172293016
8,1,0.9323279031334842
8,2,0.9355343183358609
8,3,0.9336408962649755
8,4,0.9309445907608067
9,0,0.9259468358961106
9,1,0.9222629734594974
9,2,0.9256560987136693
9,3,0.9269611536851793
9,4,0.9299638568790486
10,0,0.9349435931593449
10,1,0.9301676282957408
10,2,0.9358592075693062
10,3,0.935834246737871
10,4,0.9303785646837093
