system,rmsd_motifs,rmsd_adv,rmsd_sg,rmsd_dock
aa2ar,4.147040315092197,2.4034113821430285,7.927534079038438,0.6028977693958335
abl1,0.1245675277330223,0.2202221827198813,0.4243731508595167,0.2022590286450338
ace,0.4070087569145504,1.3083323101818949,3.781334357257766,0.8753761496336262
aces,0.1338458601739871,0.4581879533950231,0.6385133524239321,0.1366331293218161
ada,0.2726636358837264,4.494673700458084,1.4525989960623265,0.5255866909808705
ada17,1.367898095619699,0.8483092544102122,2.8944498030738126,0.5090631725664376
adrb1,0.3200140621910232,0.9252803485973188,1.0551586862384343,0.2597546171323269
adrb2,7.436266754897917,1.6936811780996337,0.9520569112224913,0.4228941994653999
akt1,0.1034308820827756,0.2712129800586202,0.3549899314729937,5.8800330160505885
akt2,0.1228619734341304,0.2746451375243156,0.8432405591151569,0.1114050961768877
aldr,0.1453654135214968,0.526612236746388,8.242641115809901,0.5271569308345746
ampc,0.3890116238343805,6.130437911990245,7.811795157923444,5.252659656929334
andr,0.1793233312841838,0.4971726341662443,0.3794149833462436,0.1932248770687753
aofb,0.2230264238028459,1.4910520855298903,1.0421794070764785,0.4179680501310867
bace1,0.6905001551670455,4.45200318818722,5.820309217640881,0.4491851775735806
braf,1.6282385969419313,5.2157828077956685,2.145238215494265,6.696897953671583
cah2,0.2407213118940657,0.4894999853693428,1.4598646622228966,0.4884869724253686
casp3,2.071035087422068,3.719284432982189,5.337296344356734,8.252497099861532
comt,0.4888552225060387,5.697532024217996,3.844447936668971,4.422731781124534
cp2c9,0.4543045967923577,1.0972490775191237,2.275405198633984,0.5999431277702851
csf1r,0.1235078077346877,0.8824745519508009,1.5427131877308438,7.987533353476031
cxcr4,0.2483492910607361,2.08313870182292,2.4381959277435907,3.653969210662313
def,0.6733388338609215,2.772277264485601,8.322379129699872,1.0914958389592462
dhi1,0.2111291074200804,0.5572080506797126,1.012997581687041,0.2220892920562427
dpp4,1.4931035873577712,0.4825978620147477,1.5362184084868868,0.2758928523847552
dyr,0.3602766298276921,3.624162699107503,1.6530504945104731,0.3541655691002634
egfr,0.2037273132935748,0.7113531299667342,9.179253372902174,0.4542061430517733
esr1,0.1710622782214216,0.5938361885318976,1.34176244022226,0.2372051425847668
esr2,0.3208192637607659,5.809174535588049,1.2801787970474494,0.4124081340260053
fa10,1.831472469421804,0.3988815502614526,0.6904279694024579,0.1800916153948854
fa7,6.339024840225822,1.431103928312307,1.2690142338963424,0.2047214926080901
fabp4,0.3421857844959537,0.663877372362368,1.256947857446994,0.3321243289938367
fgfr1,0.0939364442352142,0.3248318670666931,0.3195611305473343,0.2253739399096815
fkb1a,0.8460076647111417,0.7167350423219583,5.943463965391433,0.4406233337896887
fnta,0.2035485200142708,6.688842761585969,6.010922219408415,0.3633461661113982
fpps,0.7036637602576963,3.7313491532265495,6.661341619053516,4.934931551220466
glcm,0.3638903877347058,2.3912514780241514,2.524716565627161,0.5448680425054188
gria2,0.2355654348033135,1.2083934267873389,1.1841852152036565,7.872375770834044
grik1,0.3541099506408386,0.7934379701524648,1.8006687696544612,4.488613752077503
hdac2,0.1168993350941509,0.2376702554411357,5.870451475520351,0.3605243077377573
hdac8,1.7854024489626703,3.9553050117718143,9.775514668907013,2.6993573741527084
hivpr,0.1896301921005664,1.463205116228603,5.194815101077565,0.3190039918798615
hivrt,0.2490884149484646,0.3966030545509885,1.305431310347818,0.2476940249335575
hmdh,0.095894618085572,0.7085201112179316,1.1360069521415708,8.954011826883054
hs90a,0.2160171499925621,0.3439396781038124,0.6967268618661786,0.3157068539482403
igf1r,0.174553716660517,0.6547733424295693,0.6061925079547967,0.5372452950121744
inha,0.4547553787977164,1.883265570778277,2.7603040694151244,1.1240741764620588
jak2,0.0508318678377917,0.6879345648403686,0.95403278564793,0.2051317836743846
kif11,0.5007870472233349,0.95680513480635,0.6568748269105417,5.115215169712356
kit,0.1031757106722664,0.7672281699621444,0.8174741976104728,0.3587565435417507
kith,0.1168125698312823,0.5064247136505885,0.5848491369032583,0.3641443305036901
kpcb,0.1727905545959489,1.6880890574680707,1.045982709145295,0.5614243597038824
lck,0.31067281825097,0.7174519558329213,2.80822802827225,0.4419330549132061
lkha4,0.3951818513699402,2.8508188242241768,1.8780289128259464,0.4292749495655318
mapk2,0.5764591082186801,0.3363682331738873,1.196155173594329,0.6813188470108925
mcr,0.204070783345839,0.2737917681154437,0.3279339635766408,0.1629866601634393
met,0.2010497450881248,1.377082782797431,13.181520915681714,0.2971105485326908
mk10,0.1346697349072912,0.5052804078312206,0.5950490722560942,0.1136192401968713
mmp13,0.7597071099161455,1.0457876652308364,2.4324211116727,0.5338916246231679
mp2k1,0.2571036905458728,6.3947695536306055,2.33426268669622,0.3192217948385768
nos1,0.4205274465874175,5.640971768513413,5.339850398915036,7.458644242703339
nram,0.5816685310380828,0.5339471264989816,1.39402106867771,5.959094435089188
pa2ga,0.480148703817659,1.618139341394286,5.899041249227022,0.5755315193826669
parp1,6.0391484068534025,0.754607563798056,0.5658747369889269,2.5131048930246345
pgh2,0.2093951913341045,0.6366273079075941,0.5997414344938753,0.2335670707083857
plk1,3.505917377270889,0.4503110569087749,1.5464489966571626,0.2393516010780708
pnph,0.1633535075260168,0.6979564485091336,0.707127756382414,0.3569273119309157
ppara,0.1952838648705718,0.9350184356144844,1.0506036639445062,0.3208528816811337
ppard,0.5587039385122421,1.3926221651925188,1.2089399330682482,0.2663831363145061
pparg,0.3140978889947651,0.4577791605676592,0.9024632731159308,0.2475190306024364
prgr,0.3171239972465498,0.5082544969752179,1.6605380783366035,0.3946479816787793
pur2,0.2321135724732955,0.755583000839271,0.906340178678124,0.610745467780979
pygm,0.414150464376001,0.4607820786318121,0.8881894184802986,4.141657180917987
pyrd,0.1182550601845814,0.5730152541230603,0.4066064004002726,9.455905284045071
reni,0.1257187706841168,0.5847242144961801,1.3553455370758012,0.1966021855326201
rock1,0.1435937556673912,1.8998411587252504,0.8169849924692872,0.383429423716377
rxra,0.4494459088700216,1.726665498936204,1.6178567797421577,0.5651593930059639
sahh,0.1162748558599969,0.6956634554766786,0.94748389081385,0.5603232176090804
tgfr1,2.712079660211575,0.3911672255212002,0.83499913256284,0.261692852116003
thb,0.1655915801862263,0.7371460845463298,2.085737494973079,0.263629509934402
thrb,0.2143726576866475,0.2818364010292928,0.3205165321424934,0.2549255436948073
tryb1,0.429380053995562,0.5135671074116848,0.9339481936539276,0.2288962991821294
urok,0.160133798223028,0.7570816669736735,0.8495319657561601,0.2714522659853317
xiap,4.635133395555581,2.192569266860502,2.461599921141292,0.5077769488153079
