file,confidence,rmsd
mk01_seed-5_sample-4_model.cif,0.9410694764150805,0.11673655130460671
mk01_seed-2_sample-2_model.cif,0.9379731320414401,0.13120216889148947
mk01_seed-6_sample-2_model.cif,0.93774693041131,0.14201515912921192
mk01_seed-3_sample-4_model.cif,0.9376137858711455,0.12534956193161934
mk01_seed-10_sample-1_model.cif,0.9370654250730018,0.13262754654711328
mk01_seed-3_sample-3_model.cif,0.9365987551504968,0.14185400777863374
mk01_seed-9_sample-1_model.cif,0.9364686504358948,0.1404130256246628
mk01_seed-7_sample-4_model.cif,0.9356534805212394,0.11052583066541599
mk01_seed-6_sample-0_model.cif,0.9356063897235951,0.1324610468330019
mk01_seed-7_sample-3_model.cif,0.9354471675996602,0.10187700892850539
mk01_seed-6_sample-4_model.cif,0.9354043602987497,0.11916396351755987
mk01_seed-2_sample-4_model.cif,0.9350654724053798,0.12397349552101082
mk01_seed-4_sample-2_model.cif,0.9350034353318747,0.11329605918355921
mk01_seed-8_sample-4_model.cif,0.934985313799678,0.13202407172799474
mk01_seed-9_sample-4_model.cif,0.9349620709929777,0.14045575804944999
mk01_seed-4_sample-0_model.cif,0.9348618151738798,0.11854466068302916
mk01_seed-5_sample-0_model.cif,0.9347361082628545,0.12785850411038857
mk01_seed-5_sample-2_model.cif,0.9347068365890637,0.12452172061986039
mk01_seed-3_sample-2_model.cif,0.9345018833301497,0.15434053768443387
mk01_seed-8_sample-3_model.cif,0.9343305824637869,0.12433743857985759
mk01_seed-9_sample-0_model.cif,0.9342143229494667,0.11058115398717913
mk01_seed-6_sample-3_model.cif,0.9341445791863137,0.12766777966803686
mk01_seed-4_sample-1_model.cif,0.9340093726457309,0.11560257942848184
mk01_seed-3_sample-1_model.cif,0.9337796815562123,0.13120892539222584
mk01_seed-8_sample-0_model.cif,0.9337733224250498,0.10259631552062638
mk01_seed-6_sample-1_model.cif,0.9337575044999332,0.1262185081114802
mk01_seed-4_sample-3_model.cif,0.9337238268033554,0.12247468696938783
mk01_seed-8_sample-2_model.cif,0.933651699523905,0.12128781080674184
mk01_seed-4_sample-4_model.cif,0.9331041368364865,0.11808767487077054
mk01_seed-2_sample-1_model.cif,0.9328075879672276,0.12723565647648877
mk01_seed-5_sample-1_model.cif,0.9327554531094989,0.15127755346108154
mk01_seed-3_sample-0_model.cif,0.932624572009944,0.11624912167309276
mk01_seed-9_sample-3_model.cif,0.9325866847547697,0.1378033902744567
mk01_seed-8_sample-1_model.cif,0.9325558217920666,0.13520214257657465
mk01_seed-2_sample-3_model.cif,0.9323737125489544,0.14773429499331514
mk01_seed-10_sample-3_model.cif,0.9321625202487342,0.12748533756431707
mk01_seed-7_sample-2_model.cif,0.9321114533894496,0.13792841574308537
mk01_seed-2_sample-0_model.cif,0.932047570244814,0.11828469971764836
mk01_seed-7_sample-0_model.cif,0.931989694175474,0.13613236962785083
mk01_seed-10_sample-2_model.cif,0.9317823844328328,0.13115107800524495
mk01_seed-7_sample-1_model.cif,0.931413196644163,0.11565192041332037
mk01_seed-5_sample-3_model.cif,0.9310370317201356,0.13405396239833403
mk01_seed-1_sample-1_model.cif,0.9309047316347074,0.14887279953299382
mk01_seed-10_sample-4_model.cif,0.930773031231582,0.11869613657899754
mk01_seed-1_sample-0_model.cif,0.9306247810655294,0.13339731091800425
mk01_seed-1_sample-3_model.cif,0.930385551245442,0.12865508088008962
mk01_seed-10_sample-0_model.cif,0.9301883691265322,0.12974474829276472
mk01_seed-1_sample-2_model.cif,0.9300403882119419,0.15088167687262227
mk01_seed-9_sample-2_model.cif,0.9288469515346673,0.12659384937258508
mk01_seed-1_sample-4_model.cif,0.9254265118168257,0.16272490880819288
