seed,sample,ranking_score
1,0,0.9441468043920472
1,1,0.9187608708724888
1,2,0.9095117008065955
1,3,0.9308735849246402
1,4,0.950705383107143
2,0,0.9262202859656392
2,1,0.9108340195050892
2,2,0.9064386393766843
2,3,0.9152255937729412
2,4,0.9121099592535392
3,0,0.9328352877110194
3,1,0.9070093935753472
3,2,0.9116898175620067
3,3,0.9184647783706761
3,4,0.9460173796517136
4,0,0.9068489107370705
4,1,0.9306272033451771
4,2,0.9111719175380113
4,3,0.9078634666982015
4,4,0.9115752894225553
5,0,0.9090669138859836
5,1,0.9103740712596691
5,2,0.9300650128548139
5,3,0.921118946766316
5,4,0.9109852314838419
6,0,0.9085043270996228
6,1,0.9368961481311833
6,2,0.9117383405606899
6,3,0.912417990839104
6,4,0.9097114669549996
7,0,0.9021346021894479
7,1,0.905849046442156
7,2,0.9268459434798808
7,3,0.9372529967099698
7,4,0.8969564431625309
8,0,0.9438248669886082
8,1,0.9176458970128839
8,2,0.9145286387128172
8,3,0.9365704267189269
8,4,0.9145745680695285
9,0,0.9467634305260992
9,1,0.9379270530534763
9,2,0.9428050285447486
9,3,0.9168055384786183
9,4,0.9130624463403985
10,0,0.9538854457927093
10,1,0.9092085264489884
10,2,0.911644017842236
10,3,0.9136274419076448
10,4,0.9089080203838023
