seed,sample,ranking_score
1,0,0.9503834075572392
1,1,0.9608927405359746
1,2,0.9557455311625551
1,3,1.0003774096067692
1,4,0.9474866466392521
2,0,0.9521391940596151
2,1,0.9553175518187424
2,2,0.9593923804181435
2,3,0.9463437700655818
2,4,0.9471254482603213
3,0,0.9465606529074428
3,1,0.9705312269634558
3,2,0.9638472318290933
3,3,0.9670962451631105
3,4,0.9641367938833793
4,0,0.9313036827636391
4,1,0.9180431872909018
4,2,0.9168132955472632
4,3,0.9042276157438501
4,4,0.9033874887097
5,0,0.9232219902001618
5,1,0.9131999918157033
5,2,0.9134537734782722
5,3,0.9409095876053657
5,4,0.9306186610245035
6,0,0.9358657699869635
6,1,0.949896858317249
6,2,0.9314294899401182
6,3,0.9136983255086453
6,4,0.9155860863651855
7,0,0.9779568486758745
7,1,0.9432769012709544
7,2,0.960650901707572
7,3,0.9457125560975009
7,4,0.9539301262402773
8,0,0.9531801496011457
8,1,0.9611343034973268
8,2,0.958299977578948
8,3,0.9463580210167202
8,4,0.9612699396934786
9,0,0.9421613714714914
9,1,0.9404952933157081
9,2,0.9414451094324608
9,3,0.9793605466724298
9,4,0.9832846392325848
10,0,0.9447476515538944
10,1,0.9455884512768624
10,2,0.9444141990590134
10,3,0.9621089708563497
10,4,0.9504733433260273
