seed,sample,ranking_score
1,0,0.9412057798983587
1,1,0.9478211453778231
1,2,0.949647537041171
1,3,0.9487624204362386
1,4,0.9484065819817893
2,0,0.9525502603399206
2,1,0.9479763790110923
2,2,0.9488921205233636
2,3,0.9490136608346682
2,4,0.9513639991467415
3,0,0.9514142148500919
3,1,0.9448244478625027
3,2,0.9480502972866052
3,3,0.9490102084794049
3,4,0.9308956500429767
4,0,0.9382422212647679
4,1,0.9450119960832504
4,2,0.9523467310345628
4,3,0.9529206819143181
4,4,0.9488828552589182
5,0,0.9500916976205187
5,1,0.9520198326879926
5,2,0.9413670497202171
5,3,0.9481271514066697
5,4,0.9488997829180075
6,0,0.9497859631591327
6,1,0.9488238453957527
6,2,0.9546825069338093
6,3,0.947499117868644
6,4,0.9381451689506372
7,0,0.9497123709115889
7,1,0.950753442429296
7,2,0.9498756109042901
7,3,0.9495302511609542
7,4,0.9427193774412161
8,0,0.9451903786685263
8,1,0.9482625276424683
8,2,0.9507354831082103
8,3,0.9510694540484821
8,4,0.9514441813630656
9,0,0.9488454186404166
9,1,0.9478230526576501
9,2,0.949505544089228
9,3,0.9163654334880436
9,4,0.9543000338828287
10,0,0.9525982357244633
10,1,0.9501765735534946
10,2,0.9514681523848545
10,3,0.9530277718168969
10,4,0.9485873159570836
