seed,sample,ranking_score
1,0,0.7934256768518819
1,1,0.7557277805581014
1,2,0.7660874862633009
1,3,0.7977337392737756
1,4,0.8022109054345252
2,0,0.8054554418150637
2,1,0.7977312368304289
2,2,0.8026265888535561
2,3,0.8048750038608394
2,4,0.8114428574096278
3,0,0.808109025966315
3,1,0.8062484338982094
3,2,0.8019107105951584
3,3,0.8112637067466898
3,4,0.8083926360415098
4,0,0.797121203722724
4,1,0.795867228674557
4,2,0.7965759848008142
4,3,0.7950467366740024
4,4,0.7619598407321725
5,0,0.796509695100494
5,1,0.8008075666906298
5,2,0.7983402254490939
5,3,0.7984287876799581
5,4,0.7774435240241137
6,0,0.7983749204206361
6,1,0.8092893815132548
6,2,0.8174277677054678
6,3,0.8049885140739255
6,4,0.8128314537475212
7,0,0.7914285792019391
7,1,0.8041897617709599
7,2,0.8066581714386936
7,3,0.7689586804053361
7,4,0.809983384105839
8,0,0.8073728981579217
8,1,0.7601623535807317
8,2,0.8064064404022228
8,3,0.7875517406965329
8,4,0.8068722218703239
9,0,0.7935882395143579
9,1,0.7921320860267702
9,2,0.7918460507207379
9,3,0.7959882613746114
9,4,0.794482625379872
10,0,0.8111145146553029
10,1,0.8130532848734785
10,2,0.8018955882342956
10,3,0.8080035362779434
10,4,0.8055632641268633
