seed,sample,ranking_score
1,0,0.9102681272055947
1,1,0.902229925307369
1,2,0.9047554210592029
1,3,0.9096458519524887
1,4,0.8995749690566868
2,0,0.9145414049016135
2,1,0.91475586224341
2,2,0.9047818982480914
2,3,0.9063564680069096
2,4,0.9104118224749332
3,0,0.9058283949883948
3,1,0.903162075136496
3,2,0.9055736719214307
3,3,0.9104697592976453
3,4,0.9062154298334478
4,0,0.9021669444386728
4,1,0.9015347312328235
4,2,0.8960083013641511
4,3,0.9102784301621425
4,4,0.8994080564348529
5,0,0.9122082808773383
5,1,0.9066123477858413
5,2,0.9059540271867715
5,3,0.9069146651374008
5,4,0.9047493737262934
6,0,0.9072906040928245
6,1,0.9125910988382165
6,2,0.9006202641436502
6,3,0.9078948613952607
6,4,0.9004356989624237
7,0,0.902716738822167
7,1,0.90541627466504
7,2,0.9049004873704329
7,3,0.908396630073163
7,4,0.9025657092407712
8,0,0.8996063372869729
8,1,0.8954430120349591
8,2,0.8998603827348521
8,3,0.8981033026260202
8,4,0.8956777509518201
9,0,0.900876665845152
9,1,0.899047025002932
9,2,0.9053186720994728
9,3,0.9029362937611235
9,4,0.9091032076145411
10,0,0.8862824776777724
10,1,0.8847075434993095
10,2,0.8947576906180489
10,3,0.9027665620485129
10,4,0.8812387563022342
