seed,sample,ranking_score
1,0,0.9160987866830621
1,1,0.9233475793201644
1,2,0.9206279001002271
1,3,0.9211896191773963
1,4,0.9206461171842679
2,0,0.9248315793047888
2,1,0.9224389996600398
2,2,0.9245196817587473
2,3,0.9219394513589682
2,4,0.9246053552560165
3,0,0.9298299686576702
3,1,0.9276841943531152
3,2,0.9228409171174744
3,3,0.9206668353616021
3,4,0.9200733083044317
4,0,0.9240434119452751
4,1,0.921825214444224
4,2,0.9227536972842069
4,3,0.921052102625163
4,4,0.9215281678690798
5,0,0.9182068942510588
5,1,0.9188092650526046
5,2,0.9295597963550508
5,3,0.9209415494100005
5,4,0.9217724012898865
6,0,0.9217546286962279
6,1,0.9227723222925348
6,2,0.9224932709575312
6,3,0.9208360357378386
6,4,0.9241409934725726
7,0,0.9196226302040567
7,1,0.9215761933953329
7,2,0.9224956733262525
7,3,0.92158048281067
7,4,0.9264381386554043
8,0,0.9234978392226435
8,1,0.9249472797065869
8,2,0.9242470421520326
8,3,0.9261229436353847
8,4,0.9204705514886554
9,0,0.9244271789901599
9,1,0.9233822134283021
9,2,0.9206390001658412
9,3,0.9213808492344907
9,4,0.922529611320064
10,0,0.9224552051614233
10,1,0.9221545370126901
10,2,0.9222245445768772
10,3,0.9199391214770868
10,4,0.9214661036443055
