seed,sample,ranking_score
1,0,0.8769201881000668
1,1,0.871805123819452
1,2,0.8706355631338354
1,3,0.8792235611405224
1,4,0.8699040712674677
2,0,0.8680681255584332
2,1,0.8682171751157872
2,2,0.8397637039995278
2,3,0.8584968273438147
2,4,0.8650453086058211
3,0,0.8540291849829609
3,1,0.8633852278222071
3,2,0.8623468152488729
3,3,0.8582297875104252
3,4,0.862552611849094
4,0,0.8327901346870514
4,1,0.85322604984651
4,2,0.867796749034824
4,3,0.8467560027776156
4,4,0.8451639708070682
5,0,0.8438687608366637
5,1,0.8492977698999135
5,2,0.8557004585846437
5,3,0.8478505043620248
5,4,0.8392547196329908
6,0,0.8292755065373413
6,1,0.8264249063576192
6,2,0.834853951090346
6,3,0.8317298857499738
6,4,0.8353605411320226
7,0,0.8832449996353213
7,1,0.8601345499392831
7,2,0.8508558226759501
7,3,0.8743770690898309
7,4,0.8625047083892523
8,0,0.835635460139061
8,1,0.8431264383487873
8,2,0.8458172845614023
8,3,0.8350068108740321
8,4,0.8399949571381736
9,0,0.8483211108488653
9,1,0.8589656158241372
9,2,0.8397122883635
9,3,0.850268526288494
9,4,0.8499132409594947
10,0,0.875096252604356
10,1,0.8703851600875336
10,2,0.8714367524823998
10,3,0.8683848803600196
10,4,0.8672427941874776
