system,rmsd
def,1.0914958389592462
nram,5.959094435089188
fa10,0.18009161539488547
fak1,0.27812283999636855
aofb,0.4179680501310867
reni,0.19660218553262016
igf1r,0.5372452950121744
gria2,7.872375770834044
tgfr1,0.26169285211600307
mcr,0.16298666016343938
cdk2,6.953483738059128
fkb1a,0.44062333378968876
abl1,0.2022590286450338
pyrd,9.455905284045071
glcm,0.5448680425054188
xiap,0.5077769488153079
comt,4.422731781124534
vgfr2,0.2279478734090973
bace1,0.4491851775735806
try1,0.4186242583948403
thrb,0.2549255436948073
sahh,0.5603232176090804
drd3,0.2453932196690671
tryb1,0.2288962991821294
fpps,4.934931551220466
mk14,0.3676784709398047
pparg,0.24751903060243644
casp3,8.252497099861532
urok,0.27145226598533173
adrb2,0.4228941994653999
andr,0.19322487706877534
adrb1,0.25975461713232695
kif11,5.115215169712356
thb,0.263629509934402
hdac8,2.6993573741527084
rock1,0.383429423716377
mk01,0.7462188646084924
hivrt,0.24769402493355752
cp3a4,0.34724432857885645
hmdh,8.954011826883054
pygm,4.141657180917987
akt1,5.8800330160505885
hs90a,0.3157068539482403
akt2,0.11140509617688774
rxra,0.5651593930059639
aces,0.13663312932181615
mk10,0.1136192401968713
mp2k1,0.3192217948385768
fabp4,0.33212432899383676
csf1r,7.987533353476031
fa7,0.20472149260809017
dpp4,0.2758928523847552
jak2,0.20513178367438467
ada,0.5255866909808705
fnta,0.36334616611139825
braf,6.6968979536715825
ppard,0.26638313631450616
esr1,0.23720514258476688
wee1,0.35225330677267386
cah2,0.48848697242536865
ptn1,5.613993247441001
pnph,0.3569273119309157
ampc,5.252659656929334
ada17,0.5090631725664376
esr2,0.41240813402600535
nos1,7.458644242703339
fgfr1,0.22537393990968152
lkha4,0.4292749495655318
hdac2,0.3605243077377573
kit,0.35875654354175074
mapk2,0.6813188470108925
cxcr4,3.6539692106623125
aa2ar,0.6028977693958335
met,0.29711054853269087
egfr,0.4542061430517733
cp2c9,0.5999431277702851
lck,0.44193305491320617
plk1,0.2393516010780708
mmp13,0.5338916246231679
pde5a,0.2544230056729665
pa2ga,0.5755315193826669
grik1,4.4886137520775025
hivpr,0.31900399187986156
gcr,9.032660390913833
ace,0.8753761496336262
kith,0.36414433050369016
parp1,2.5131048930246345
hxk4,0.26715256141568117
ppara,0.3208528816811337
prgr,0.39464798167877935
hivint,6.488731751451084
tysy,1.4542664627090616
dhi1,0.2220892920562427
pgh1,0.25125715905017637
ital,0.32053038244330806
kpcb,0.5614243597038824
dyr,0.3541655691002634
aldr,0.5271569308345746
inha,1.1240741764620588
pur2,0.610745467780979
pgh2,0.23356707070838573
src,0.48910702309494974
