seed,sample,ranking_score
1,0,0.9710146042892909
1,1,0.971391940589758
1,2,0.9709809942011252
1,3,0.9711461804151804
1,4,0.9709456247993307
2,0,0.9722143438799451
2,1,0.9707376583784836
2,2,0.9708210180916399
2,3,0.9715331552555022
2,4,0.9715026944135875
3,0,0.970538569405283
3,1,0.9710359363507992
3,2,0.9693757247993524
3,3,0.9696089314546076
3,4,0.9727921628476404
4,0,0.971592712953395
4,1,0.9716233355092982
4,2,0.9704742426549466
4,3,0.9712367659525114
4,4,0.971808613891028
5,0,0.9704980780167031
5,1,0.9703859491227502
5,2,0.9712402027910738
5,3,0.9698098685792595
5,4,0.9711577775982556
6,0,0.9704212938510322
6,1,0.971081404213563
6,2,0.9709196254207769
6,3,0.970886200609288
6,4,0.9706921578111484
7,0,0.9706038208868153
7,1,0.9718836253429849
7,2,0.9715041789821972
7,3,0.9698816075575436
7,4,0.972491444801751
8,0,0.9709918730645362
8,1,0.9707747680182157
8,2,0.9713197208788552
8,3,0.970698730836119
8,4,0.9700130474189681
9,0,0.9720251804139062
9,1,0.9719010617386669
9,2,0.9733677412722319
9,3,0.9728528158978877
9,4,0.9726781053974303
10,0,0.9707014393259024
10,1,0.9707065949937494
10,2,0.9702470653223195
10,3,0.9711403100442129
10,4,0.9703428074706736
