system,rmsd
def,1.1504459156845874
nram,12.485002738058554
fa10,0.39100619075703846
fak1,0.45098441252107185
aofb,0.7424402297177607
reni,0.28977894216668354
igf1r,0.5372452950121744
gria2,15.71568874068089
tgfr1,0.47132244092098435
mcr,0.2950284337453166
cdk2,9.247767427833717
fkb1a,0.5049537246770756
abl1,0.40259314477833147
pyrd,10.603488491429486
glcm,3.5723207994126764
xiap,0.5077769488153079
comt,5.8686115710625995
vgfr2,0.3855993250872018
bace1,0.8569578578751934
try1,6.556450081547213
thrb,0.35146241418290125
sahh,0.6638548408777656
drd3,0.3015302249260677
tryb1,0.44218048399193965
fpps,21.0256977537111
mk14,0.38260784099203593
pparg,0.8348495444894444
casp3,11.921178101843703
urok,0.42366802096048367
adrb2,0.469584156476537
andr,0.2787546930403668
adrb1,0.4550991293438539
kif11,7.7025600515387875
thb,16.736462435090647
hdac8,7.542093477886808
rock1,0.5467825684927462
mk01,5.314925150957226
hivrt,0.24769402493355752
cp3a4,0.4713162879612145
hmdh,8.954011826883054
pygm,6.2555832383302405
akt1,6.439924403279298
hs90a,0.43041080608059085
akt2,0.3531507282145519
rxra,17.53776227246335
aces,0.21799121193535292
mk10,0.2921540701693287
mp2k1,7.94290985073565
fabp4,15.9572492679847
csf1r,8.150090232401144
fa7,0.2238320611905277
dpp4,0.2779870692350034
jak2,0.20513178367438467
ada,0.7656844711271581
fnta,0.5986710775014003
braf,6.708772560643444
ppard,9.274717940705779
esr1,0.4254761584045925
wee1,9.396441174638975
cah2,2.840182522339402
ptn1,21.980037986304445
pnph,0.5078816958502937
ampc,12.019286571496218
ada17,3.048094417723369
esr2,0.46673564364250447
nos1,7.82346013603348
fgfr1,0.32294534281145615
lkha4,9.428098010117807
hdac2,0.3605243077377573
kit,0.9354731034213867
mapk2,0.8077748271380846
cxcr4,3.6539692106623125
aa2ar,1.102543502736233
met,0.43623815080235834
egfr,0.5860726933853839
cp2c9,6.057492469822204
lck,4.804052732594022
plk1,0.3047413531470961
mmp13,0.5680396967172135
pde5a,0.6035689810806797
pa2ga,9.534894421041889
grik1,16.215408750486127
hivpr,0.6310139379559306
gcr,19.598431287716856
ace,4.868667598382877
kith,0.4866285806834868
parp1,4.468252570413509
hxk4,0.33584354625426094
ppara,0.4284109708483077
prgr,0.42534085015460144
hivint,7.5136660546848235
tysy,5.662860502144324
dhi1,0.2323441857657514
pgh1,14.412346394824084
ital,0.33312887354138837
kpcb,1.1500987389133948
dyr,5.500318760994717
aldr,11.201599633049536
inha,1.3216032954080017
pur2,15.028348523095806
pgh2,0.4434164979232423
src,0.6146145052560876
