seed,sample,ranking_score
1,0,0.964371754364181
1,1,0.9637578321675868
1,2,0.9622603739509903
1,3,0.9630219200105894
1,4,0.9623604899638871
2,0,0.9643679428637358
2,1,0.9630581399248589
2,2,0.9629913236002634
2,3,0.9643535764308906
2,4,0.9631363079841542
3,0,0.9634558065768866
3,1,0.9627407884582009
3,2,0.9648045322584599
3,3,0.9621423897479436
3,4,0.9631040083239322
4,0,0.963293405818336
4,1,0.963786121631824
4,2,0.963537280193304
4,3,0.962607561456937
4,4,0.963868835404694
5,0,0.9634391869350649
5,1,0.9631682613564279
5,2,0.9638953889322697
5,3,0.9627348380588294
5,4,0.963285852567022
6,0,0.9633176980958328
6,1,0.9610544136908553
6,2,0.9642849416915998
6,3,0.9614121858380683
6,4,0.9612053304593644
7,0,0.9637850172962859
7,1,0.9626972375381522
7,2,0.9615834020963944
7,3,0.9645243499597869
7,4,0.9625342348218366
8,0,0.962979396153695
8,1,0.9641188766812631
8,2,0.9641453599802566
8,3,0.9634688112363253
8,4,0.9633054102484817
9,0,0.9635186380158233
9,1,0.9636437739762684
9,2,0.9643298223633116
9,3,0.9638509479282308
9,4,0.9632680187185283
10,0,0.9635542287930886
10,1,0.9646215865113065
10,2,0.9624714664180927
10,3,0.9634956594370108
10,4,0.9658930995103368
