system_name,best_rmsd,best_rmsd_pose,total_poses
aa2ar,7.927534079038438,13,15
abl1,0.42437315085951677,1,1
ace,3.781334357257766,1,8
aces,0.6385133524239321,4,5
ada,1.4525989960623265,1,4
ada17,2.8944498030738126,1,9
adrb1,1.0551586862384343,1,2
adrb2,0.9520569112224911,4,7
akt1,0.3549899314729937,1,2
akt2,0.8432405591151569,1,2
aldr,8.242641115809901,1,4
ampc,7.811795157923444,1,7
andr,0.37941498334624363,1,1
aofb,1.0421794070764785,1,3
bace1,5.820309217640881,3,6
braf,2.145238215494265,3,3
cah2,1.4598646622228966,1,3
casp3,5.337296344356734,1,20
cdk2,8.411036618661207,4,4
comt,3.8444479366689714,7,8
cp2c9,2.2754051986339836,1,3
cp3a4,6.068337543938326,2,7
csf1r,1.5427131877308438,1,1
cxcr4,2.4381959277435907,2,8
def,8.322379129699872,63,100
dhi1,1.0129975816870407,80,99
dpp4,1.5362184084868868,2,5
drd3,1.4443483907669712,1,8
dyr,1.6530504945104731,1,7
egfr,9.179253372902174,8,8
esr1,1.3417624402222599,1,6
esr2,1.2801787970474494,5,8
fa10,0.6904279694024579,1,4
fa7,1.2690142338963424,4,11
fabp4,1.256947857446994,2,4
fak1,0.6908714447597698,1,3
fgfr1,0.3195611305473343,1,2
fkb1a,5.943463965391433,12,19
fnta,6.010922219408415,1,7
fpps,6.661341619053516,7,7
gcr,0.7450777491733006,2,2
glcm,2.524716565627161,16,17
gria2,1.1841852152036563,1,3
grik1,1.8006687696544612,1,2
hdac2,5.870451475520351,3,6
hdac8,9.775514668907013,3,3
hivint,3.030977538898539,1,5
hivpr,5.194815101077565,17,35
hivrt,1.3054313103478181,1,2
hmdh,1.1360069521415708,2,17
hs90a,0.6967268618661786,1,3
hxk4,1.2808872388957941,1,1
igf1r,0.6061925079547967,2,6
inha,2.7603040694151244,5,9
ital,NA,NA,NA
jak2,0.9540327856479301,5,12
kif11,0.6568748269105417,7,14
kit,0.8174741976104728,3,5
kith,0.5848491369032583,4,4
kpcb,1.045982709145295,1,3
lck,2.80822802827225,3,4
lkha4,1.8780289128259464,9,12
mapk2,1.196155173594329,3,4
mcr,0.3279339635766408,1,2
met,13.181520915681714,2,9
mk01,0.898887359073639,1,1
mk10,0.5950490722560942,2,2
mk14,9.06376721900343,3,3
mmp13,2.4324211116726997,3,4
mp2k1,2.3342626866962197,2,6
nos1,5.339850398915036,26,38
nram,1.3940210686777101,2,11
pa2ga,5.899041249227022,3,8
parp1,0.5658747369889269,1,3
pde5a,NA,NA,NA
pgh1,7.421541590853649,4,7
pgh2,0.5997414344938753,1,1
plk1,1.5464489966571626,2,13
pnph,0.707127756382414,8,13
ppara,1.0506036639445062,1,5
ppard,1.2089399330682482,2,3
pparg,0.9024632731159307,2,6
prgr,1.6605380783366037,4,4
ptn1,0.4147108370718007,1,8
pur2,0.9063401786781241,8,20
pygm,0.8881894184802986,7,7
pyrd,0.4066064004002726,3,8
reni,1.3553455370758012,3,8
rock1,0.8169849924692872,3,5
rxra,1.6178567797421577,5,6
sahh,0.9474838908138499,1,1
src,1.0604966558049582,1,5
tgfr1,0.83499913256284,1,2
thb,2.085737494973079,1,2
thrb,0.3205165321424934,1,1
try1,1.3520312003983903,11,17
tryb1,0.9339481936539276,1,3
tysy,1.925273207066237,4,4
urok,0.8495319657561601,1,5
vgfr2,1.3577839762686128,2,3
wee1,0.7108191806683524,6,6
xiap,2.4615999211412922,7,11
