system_name,best_rmsd,best_rmsd_pose,total_poses
aa2ar,7.983534474057606,1,15
abl1,0.42437315085951677,1,1
ace,3.781334357257766,1,8
aces,13.060016575279272,1,5
ada,1.4525989960623265,1,4
ada17,2.8944498030738126,1,9
adrb1,1.0551586862384343,1,2
adrb2,1.5491426051000021,1,7
akt1,0.3549899314729937,1,2
akt2,0.8432405591151569,1,2
aldr,8.242641115809901,1,4
ampc,7.811795157923444,1,7
andr,0.37941498334624363,1,1
aofb,1.0421794070764785,1,3
bace1,6.197967706594553,1,6
braf,2.53334068193666,1,3
cah2,1.4598646622228966,1,3
casp3,5.337296344356734,1,20
cdk2,8.420882021320535,1,4
comt,7.284448853624194,1,8
cp2c9,2.2754051986339836,1,3
cp3a4,9.805211180886923,1,7
csf1r,1.5427131877308438,1,1
cxcr4,2.945874386398334,1,8
def,8.3921952978513,1,100
dhi1,7.965444253148655,1,99
dpp4,1.8077992929565414,1,5
drd3,1.4443483907669712,1,8
dyr,1.6530504945104731,1,7
egfr,9.673492168204826,1,8
esr1,1.3417624402222599,1,6
esr2,1.856416545361347,1,8
fa10,0.6904279694024579,1,4
fa7,2.178864078166043,1,11
fabp4,4.450440015829783,1,4
fak1,0.6908714447597698,1,3
fgfr1,0.3195611305473343,1,2
fkb1a,8.225557114301411,1,19
fnta,6.010922219408415,1,7
fpps,8.979467245379963,1,7
gcr,0.7976851434073575,1,2
glcm,2.6868960146594687,1,17
gria2,1.1841852152036563,1,3
grik1,1.8006687696544612,1,2
hdac2,8.857967510340027,1,6
hdac8,9.781558268217406,1,3
hivint,3.030977538898539,1,5
hivpr,5.217238339183275,1,35
hivrt,1.3054313103478181,1,2
hmdh,1.527544624304248,1,17
hs90a,0.6967268618661786,1,3
hxk4,1.2808872388957941,1,1
igf1r,1.089971388154182,1,6
inha,3.47611117574777,1,9
ital,NA,NA,NA
jak2,1.1777865811105535,1,12
kif11,1.783831892570352,1,14
kit,2.0234529715500296,1,5
kith,0.6529250950012433,1,4
kpcb,1.045982709145295,1,3
lck,2.965483655128068,1,4
lkha4,5.127791847557636,1,12
mapk2,1.8842898817313853,1,4
mcr,0.3279339635766408,1,2
met,13.584702848687023,1,9
mk01,0.898887359073639,1,1
mk10,0.9864921400463155,1,2
mk14,9.634803123600667,1,3
mmp13,2.6367090769444315,1,4
mp2k1,8.305159641447121,1,6
nos1,8.015762016792518,1,38
nram,1.526005024040427,1,11
pa2ga,6.029501935523888,1,8
parp1,0.5658747369889269,1,3
pde5a,NA,NA,NA
pgh1,7.451985288719901,1,7
pgh2,0.5997414344938753,1,1
plk1,1.7560045130143056,1,13
pnph,0.966425192395397,1,13
ppara,1.0506036639445062,1,5
ppard,1.227532789188884,1,3
pparg,1.2080335332561216,1,6
prgr,1.7849159334138252,1,4
ptn1,0.4147108370718007,1,8
pur2,1.2953155225603985,1,20
pygm,1.4821860799482127,1,7
pyrd,0.9920073701296326,1,8
reni,2.314100286452759,1,8
rock1,1.6604006279122214,1,5
rxra,1.8100846216046012,1,6
sahh,0.9474838908138499,1,1
src,1.0604966558049582,1,5
tgfr1,0.83499913256284,1,2
thb,2.085737494973079,1,2
thrb,0.3205165321424934,1,1
try1,2.7129778148995825,1,17
tryb1,0.9339481936539276,1,3
tysy,2.2723546495083187,1,4
urok,0.8495319657561601,1,5
vgfr2,1.648835214847244,1,3
wee1,1.8402499594589807,1,6
xiap,2.4716899425778163,1,11
