system,rmsd
aa2ar,1.273694772110639
abl1,0.1193826332614535
ace,0.2708371742434229
aces,0.13561290496400236
ada,0.3430707638645153
ada17,1.505340315352744
adrb1,0.12377058893512585
adrb2,0.5355507565993712
aldr,0.140664381245233
ampc,1.0397790879637387
andr,0.14626544024240898
aofb,1.3040404214034838
bace1,2.7211689407209723
braf,0.48774105924726996
cah2,0.12418865144761375
casp3,1.6565122299101098
comt,0.07244612002441272
cp2c9,0.885051016207715
csf1r,0.7140014022885206
cxcr4,1.5359377289653835
def,2.324206628481772
dhi1,3.096354574892517
dpp4,0.8851283210079114
dyr,1.6938146795131812
egfr,0.31776941455089475
esr1,0.3238520673392782
esr2,0.4120994685797176
fa10,0.14220100068102254
fa7,1.567560013121948
fabp4,0.3463803310016025
fak1,2.521219762065531
fgfr1,1.5594985332098346
fkb1a,0.4330404700016734
fnta,2.3274876519962655
fpps,0.7954670420944631
gcr,0.2530328514126992
glcm,0.8084132048126805
gria2,0.2344558297167022
grik1,0.7870659000821753
hdac2,0.16629899977733426
hdac8,1.8121388716552538
hivint,0.36641203726830807
hivrt,0.8157880208705168
hmdh,0.21160753727373272
hs90a,0.11058726141088579
hxk4,0.12755103864350473
igf1r,1.1091824391227634
inha,1.6617794961702597
ital,0.29956285193387583
jak2,0.3553078548127097
kif11,0.5257866768919701
kith,0.3605806603649682
lck,0.2824220194780221
lkha4,0.8108504474828975
mapk2,0.19832632356455626
mcr,0.3394517537631475
met,0.2943243681180445
mk01,0.11673655130460671
mk10,0.26271080796097385
mk14,0.8632591677496969
mmp13,0.14874102634921613
nos1,1.530265431913732
nram,0.35302927416851404
pa2ga,0.5968842030951681
parp1,1.0085526076985847
pde5a,0.7892302728065619
pgh1,2.4483872820359736
pgh2,0.28460165998758874
pnph,0.8534535639298999
ppara,0.35604092784999675
ppard,0.6078304904052785
pparg,0.2871949131800519
prgr,0.2688699008092358
ptn1,0.15533093379594357
pur2,0.6803815743876797
pygm,0.699050129483794
pyrd,0.15149331685453093
reni,0.8145184737140192
sahh,0.23510622661266106
src,0.44306431562514154
tgfr1,0.12181192971806853
thb,0.40356680514944365
thrb,0.2556888114166545
try1,0.42630908909620646
tryb1,0.7410459325315519
tysy,2.0242715459990817
urok,0.7726301045121792
vgfr2,0.198783611767652
wee1,0.4346275351012982
xiap,0.6659407098616621
