system,rmsd
aa2ar,0.3575774698136986
abl1,0.09415480861265119
ace,0.2554029390956525
aces,0.12035196942892114
ada,0.31098103925596904
ada17,1.266752738297231
adrb1,0.11134932433342896
adrb2,0.4605858431888591
aldr,0.10364126884360357
ampc,0.802607841670057
andr,0.12112451300035343
aofb,0.7782655483946346
bace1,2.325000385443083
braf,0.40355185147430095
cah2,0.06941856445660269
casp3,0.4190418577715863
comt,0.06539211969730144
cp2c9,0.31017799767756277
csf1r,0.3431658565205004
cxcr4,0.9594426743177493
def,1.9451961065854835
dhi1,2.9728344793770813
dpp4,0.27856046520936767
dyr,0.5903461615424477
egfr,0.2241495753421509
esr1,0.28115862129100355
esr2,0.3358579488577096
fa10,0.13762618665243284
fa7,0.34139155517419334
fabp4,0.28868271314680316
fak1,2.487667735623225
fgfr1,0.12614239081554618
fkb1a,0.3923258231816791
fnta,1.0775992273515014
fpps,0.5555831244851179
gcr,0.2358059035352487
glcm,0.7190254578932413
gria2,0.12963452901939834
grik1,0.41358868827963663
hdac2,0.15340552239597807
hdac8,0.9126333540931006
hivint,0.25892113703560954
hivrt,0.3250956099964538
hmdh,0.1358612159660489
hs90a,0.10336238626290474
hxk4,0.10270177236773592
igf1r,0.6931045134678719
inha,0.43485288382908505
ital,0.1935939333635266
jak2,0.1778108638915731
kif11,0.5172100680881683
kith,0.1423574048340685
lck,0.2657233579117683
lkha4,0.5363006458038665
mapk2,0.1887943135108192
mcr,0.31792361632621075
met,0.285471799496626
mk01,0.10187700892850539
mk10,0.14886204617161367
mk14,0.3725968711115316
mmp13,0.13485392698084342
nos1,0.8628513017269728
nram,0.25341505564295125
pa2ga,0.31198849247602356
parp1,0.2944808168206222
pde5a,0.7184146439749086
pgh1,2.404620221380218
pgh2,0.18402642777749034
pnph,0.17359921869164213
ppara,0.19612542333817348
ppard,0.548306646678533
pparg,0.24612690044768992
prgr,0.26255128673403794
ptn1,0.1340985856489939
pur2,0.6106798320706299
pygm,0.4962934520054568
pyrd,0.11771758678695818
reni,0.34102219901776243
sahh,0.22306341489364806
src,0.284933468122671
tgfr1,0.10578449188216003
thb,0.3757149857051239
thrb,0.174885764582475
try1,0.3620771382536757
tryb1,0.32585583834616283
tysy,0.8431608931823913
urok,0.21206852963266073
vgfr2,0.1866966143090007
wee1,0.23538745777111575
xiap,0.5822987134004447
