system,all,10,1
hmdh,0.1358612159660489,0.1358612159660489,0.21160753727373272
hs90a,0.10336238626290474,0.10336238626290474,0.11058726141088579
hxk4,0.10270177236773592,0.10270177236773592,0.12755103864350473
igf1r,0.6931045134678719,0.8828901988766603,1.1091824391227634
inha,0.43485288382908505,0.7577690305228693,1.6617794961702597
ital,0.1935939333635266,0.2606769965016412,0.29956285193387583
jak2,0.1778108638915731,0.20711502343898253,0.3553078548127097
kif11,0.5172100680881683,0.518329208803596,0.5257866768919701
kit,X,X,X
kith,0.1423574048340685,0.1423574048340685,0.3605806603649682
kpcb,X,X,X
lck,0.2657233579117683,0.274722162764512,0.2824220194780221
lkha4,0.5363006458038665,0.6856525060694175,0.8108504474828975
mapk2,0.1887943135108192,0.18911598981186248,0.19832632356455626
mcr,0.31792361632621075,0.3260608057241416,0.3394517537631475
met,0.285471799496626,0.2943243681180445,0.2943243681180445
mk01,0.10187700892850539,0.10187700892850539,0.11673655130460671
mk10,0.14886204617161367,0.15130042696765567,0.26271080796097385
mk14,0.3725968711115316,0.4820564335260213,0.8632591677496969
mmp13,0.13485392698084342,0.14408391835047824,0.14874102634921613
mp2k1,X,X,X
nos1,0.8628513017269728,1.4760705463515444,1.530265431913732
nram,0.25341505564295125,0.2798887525878222,0.35302927416851404
pa2ga,0.31198849247602356,0.31198849247602356,0.5968842030951681
parp1,0.2944808168206222,0.2944808168206222,1.0085526076985847
pde5a,0.7184146439749086,0.7892302728065619,0.7892302728065619
pgh1,2.404620221380218,2.4174569317634376,2.4483872820359736
pgh2,0.18402642777749034,0.21336967957859038,0.28460165998758874
plk1,X,X,X
pnph,0.17359921869164213,0.8119832472510351,0.8534535639298999
ppara,0.19612542333817348,0.3158333498671081,0.35604092784999675
ppard,0.548306646678533,0.5613896950941214,0.6078304904052785
pparg,0.24612690044768992,0.2562037215044671,0.2871949131800519
prgr,0.26255128673403794,0.2688699008092358,0.2688699008092358
ptn1,0.1340985856489939,0.1340985856489939,0.15533093379594357
pur2,0.6106798320706299,0.6106798320706299,0.6803815743876797
pygm,0.4962934520054568,0.699050129483794,0.699050129483794
pyrd,0.11771758678695818,0.1289606731118668,0.15149331685453093
reni,0.34102219901776243,0.813463950229065,0.8145184737140192
rock1,X,X,X
rxra,X,X,X
sahh,0.22306341489364806,0.2249139064287053,0.23510622661266106
src,0.284933468122671,0.4049160295031397,0.44306431562514154
tgfr1,0.10578449188216003,0.10578449188216003,0.12181192971806853
thb,0.3757149857051239,0.40356680514944365,0.40356680514944365
thrb,0.174885764582475,0.17542057973804487,0.2556888114166545
try1,0.3620771382536757,0.3710409120673811,0.42630908909620646
tryb1,0.32585583834616283,0.35381372259462096,0.7410459325315519
tysy,0.8431608931823913,0.8431608931823913,2.0242715459990817
urok,0.21206852963266073,0.7690036232555914,0.7726301045121792
vgfr2,0.1866966143090007,0.1920715210623567,0.198783611767652
wee1,0.23538745777111575,0.2837903602491813,0.4346275351012982
xiap,0.5822987134004447,0.5828903341383197,0.6659407098616621
