system,all,10,1
aa2ar,0.3575774698136986,1.1126199658155873,1.273694772110639
abl1,0.09415480861265119,0.10580749734121016,0.1193826332614535
ace,0.2554029390956525,0.26254195407417624,0.2708371742434229
aces,0.12035196942892114,0.12530282834853992,0.13561290496400236
ada,0.31098103925596904,0.3228958941359672,0.3430707638645153
ada17,1.266752738297231,1.4611777548442777,1.505340315352744
adrb1,0.11134932433342896,0.11715766802115135,0.12377058893512585
adrb2,0.4605858431888591,0.4917636494883575,0.5355507565993712
akt1,X,X,X
akt2,X,X,X
aldr,0.10364126884360357,0.10364126884360357,0.140664381245233
ampc,0.802607841670057,0.9496232949794612,1.0397790879637387
andr,0.12112451300035343,0.12112451300035343,0.14626544024240898
aofb,0.7782655483946346,1.1126817543329595,1.3040404214034838
bace1,2.325000385443083,2.402674303120484,2.7211689407209723
braf,0.40355185147430095,0.40355185147430095,0.48774105924726996
cah2,0.06941856445660269,0.11525609906876018,0.12418865144761375
casp3,0.4190418577715863,1.2119844532482145,1.6565122299101098
cdk2,X,X,X
comt,0.06539211969730144,0.07129577765009455,0.07244612002441272
cp2c9,0.31017799767756277,0.7026079620117547,0.885051016207715
cp3a4,X,X,X
csf1r,0.3431658565205004,0.5814229896387054,0.7140014022885206
cxcr4,0.9594426743177493,1.4189110205877873,1.5359377289653835
def,1.9451961065854835,1.9451961065854835,2.324206628481772
dhi1,2.9728344793770813,3.0749892863216464,3.096354574892517
dpp4,0.27856046520936767,0.822703267400499,0.8851283210079114
drd3,X,X,X
dyr,0.5903461615424477,1.6938146795131812,1.6938146795131812
egfr,0.2241495753421509,0.2280265812571481,0.31776941455089475
esr1,0.28115862129100355,0.2940608801502999,0.3238520673392782
esr2,0.3358579488577096,0.3628742189153881,0.4120994685797176
fa10,0.13762618665243284,0.14120871988692832,0.14220100068102254
fa7,0.34139155517419334,1.2063359304217711,1.567560013121948
fabp4,0.28868271314680316,0.28868271314680316,0.3463803310016025
fak1,2.487667735623225,2.501847946963041,2.521219762065531
fgfr1,0.12614239081554618,1.553467207351008,1.5594985332098346
fkb1a,0.3923258231816791,0.4330404700016734,0.4330404700016734
fnta,1.0775992273515014,2.004554416131621,2.3274876519962655
fpps,0.5555831244851179,0.5859800485325347,0.7954670420944631
gcr,0.2358059035352487,0.23842265428069706,0.2530328514126992
glcm,0.7190254578932413,0.8084132048126805,0.8084132048126805
gria2,0.12963452901939834,0.1606823929634347,0.2344558297167022
grik1,0.41358868827963663,0.74149390038939,0.7870659000821753
hdac2,0.15340552239597807,0.16629899977733426,0.16629899977733426
hdac8,0.9126333540931006,1.084146638418762,1.8121388716552538
hivint,0.25892113703560954,0.25892113703560954,0.36641203726830807
hivpr,X,X,X
hivrt,0.3250956099964538,0.3250956099964538,0.8157880208705168
